DEWP,TEMP,PRES,Iws,Is,Ir,pm2.5
-17.0,0.0,1030.0,4.02,0.0,0.0,237.0
14.0,19.0,1016.0,28.17,0.0,0.0,57.0
18.0,21.0,1015.0,1.78,0.0,0.0,81.0
12.0,23.0,1012.0,4.02,0.0,0.0,47.0
13.0,16.0,1018.0,8.04,0.0,0.0,133.0
-13.0,4.0,1024.0,11.17,0.0,0.0,36.0
0.0,1.0,1022.0,3.58,0.0,0.0,222.0
5.0,14.0,1022.0,0.89,0.0,0.0,67.0
3.0,15.0,1010.0,0.89,0.0,0.0,80.0
26.0,30.0,1000.0,3.13,0.0,0.0,177.0
-3.0,26.0,1012.0,4.02,0.0,0.0,12.0
-4.0,-2.0,1019.0,0.89,0.0,0.0,415.0
22.0,23.0,1007.0,67.95,0.0,0.0,153.0
21.0,26.0,1005.0,4.92,0.0,0.0,287.0
-13.0,-5.0,1029.0,1.78,0.0,0.0,27.0
-17.0,-13.0,1030.0,1.79,0.0,0.0,94.0
2.0,15.0,1024.0,4.9,0.0,0.0,115.0
18.0,20.0,998.0,4.47,0.0,0.0,50.0
-11.0,6.0,1025.0,1.79,0.0,0.0,32.0
21.0,24.0,1002.0,0.89,0.0,0.0,43.0
19.0,22.0,1011.0,27.71,0.0,0.0,114.0
-17.0,11.0,1020.0,4.02,0.0,0.0,21.0
1.0,2.0,1031.0,3.13,0.0,0.0,209.0
-21.0,1.0,1026.0,54.08,0.0,0.0,34.0
21.0,25.0,1002.0,3.13,0.0,1.0,76.0
13.0,30.0,1005.0,4.92,0.0,0.0,130.0
-19.0,8.0,1025.0,4.02,0.0,0.0,16.0
-18.0,4.0,1023.0,139.03,0.0,0.0,10.0
11.0,23.0,1018.0,2.68,0.0,0.0,167.0
-10.0,-2.0,1017.0,3.12,0.0,0.0,341.0
10.0,16.0,1018.0,3.58,0.0,2.0,96.0
-7.0,18.0,1022.0,38.45,0.0,0.0,227.0
-6.0,30.0,1004.0,20.11,0.0,0.0,29.0
-1.0,-1.0,1027.0,6.71,0.0,0.0,289.0
2.0,12.0,1010.0,31.74,0.0,0.0,199.0
17.0,19.0,1009.0,46.48,0.0,0.0,177.0
22.0,28.0,1001.0,4.92,0.0,0.0,73.0
22.0,24.0,1000.0,1.79,0.0,5.0,88.0
2.0,15.0,1016.0,0.89,0.0,0.0,44.0
-2.0,25.0,1003.0,38.0,0.0,0.0,16.0
-16.0,8.0,1024.0,17.43,0.0,0.0,23.0
22.0,25.0,1006.0,0.89,0.0,0.0,135.0
7.0,15.0,1012.0,15.2,0.0,0.0,20.0
-11.0,-7.0,1039.0,1.79,0.0,0.0,194.0
-13.0,-10.0,1032.0,1.79,0.0,0.0,159.0
-2.0,23.0,1019.0,11.17,0.0,0.0,5.0
-12.0,-7.0,1032.0,1.78,0.0,0.0,197.0
-5.0,-3.0,1024.0,0.89,0.0,0.0,489.0
-3.0,-1.0,1032.0,0.9,0.0,0.0,88.0
4.0,18.0,1011.0,38.0,0.0,0.0,138.0
-24.0,2.0,1026.0,64.37,0.0,0.0,10.0
18.0,21.0,1014.0,0.89,0.0,0.0,81.0
3.0,5.0,1015.0,0.89,0.0,0.0,208.0
17.0,20.0,1007.0,1.78,0.0,0.0,85.0
-2.0,14.0,1019.0,85.4,0.0,0.0,15.0
-15.0,2.0,1028.0,113.54,0.0,0.0,7.0
-14.0,-10.0,1018.0,14.75,0.0,0.0,21.0
-27.0,-11.0,1038.0,175.66,0.0,0.0,10.0
-3.0,0.0,1021.0,8.05,0.0,0.0,56.0
-8.0,-2.0,1027.0,26.83,0.0,0.0,79.0
12.0,37.0,1000.0,10.73,0.0,0.0,127.0
-5.0,-3.0,1028.0,1.79,0.0,0.0,185.0
-2.0,7.0,1025.0,18.78,0.0,0.0,63.0
20.0,23.0,1005.0,8.05,0.0,0.0,88.0
-13.0,3.0,1020.0,0.89,0.0,0.0,17.0
-16.0,2.0,1024.0,13.86,0.0,0.0,61.0
21.0,27.0,1012.0,4.92,0.0,0.0,65.0
21.0,25.0,1008.0,2.68,0.0,0.0,112.0
22.0,24.0,1005.0,3.13,0.0,1.0,266.0
-13.0,-5.0,1032.0,8.05,0.0,0.0,12.0
-19.0,-8.0,1034.0,1.79,0.0,0.0,55.0
0.0,22.0,1013.0,1.79,0.0,0.0,47.0
-14.0,6.0,1020.0,8.04,0.0,0.0,65.0
25.0,29.0,1005.0,21.0,0.0,0.0,68.0
21.0,33.0,998.0,10.29,0.0,0.0,80.0
-5.0,7.0,1027.0,0.89,0.0,0.0,356.0
19.0,25.0,1008.0,4.92,0.0,0.0,114.0
8.0,19.0,1011.0,1.79,0.0,0.0,331.0
-17.0,-1.0,1033.0,68.38,0.0,0.0,20.0
14.0,15.0,1014.0,34.87,0.0,7.0,20.0
-14.0,9.0,1021.0,16.09,0.0,0.0,24.0
-6.0,-5.0,1031.0,1.79,0.0,0.0,28.0
-24.0,-9.0,1038.0,3.13,0.0,0.0,9.0
15.0,16.0,1007.0,4.02,0.0,0.0,219.0
3.0,8.0,1023.0,0.89,0.0,0.0,121.0
20.0,23.0,1011.0,0.89,0.0,0.0,89.0
-17.0,-2.0,1030.0,4.92,0.0,0.0,49.0
15.0,34.0,1005.0,13.41,0.0,0.0,61.0
-19.0,-1.0,1022.0,1.79,0.0,0.0,55.0
7.0,18.0,1022.0,7.6,0.0,0.0,80.0
-26.0,-4.0,1025.0,154.22,0.0,0.0,5.0
-22.0,-4.0,1036.0,3.13,0.0,0.0,21.0
13.0,21.0,1014.0,3.13,0.0,0.0,39.0
-19.0,17.0,1017.0,26.37,0.0,0.0,20.0
21.0,24.0,1011.0,0.89,0.0,0.0,92.0
8.0,13.0,1012.0,5.37,0.0,0.0,343.0
-10.0,6.0,1011.0,246.32,0.0,0.0,11.0
-4.0,-1.0,1023.0,300.57,0.0,0.0,227.0
7.0,11.0,1024.0,0.89,0.0,0.0,273.0
-17.0,-1.0,1028.0,7.15,0.0,0.0,13.0
-15.0,12.0,1026.0,88.97,0.0,0.0,20.0
-5.0,5.0,1020.0,1.79,0.0,0.0,64.0
-15.0,-6.0,1027.0,0.89,0.0,0.0,11.0
18.0,22.0,1011.0,0.89,0.0,0.0,188.0
-11.0,3.0,1014.0,2.67,0.0,0.0,132.0
-6.0,11.0,1023.0,52.75,0.0,0.0,18.0
21.0,25.0,1009.0,1.79,0.0,0.0,130.0
-20.0,0.0,1034.0,148.88,0.0,0.0,11.0
-15.0,1.0,1028.0,33.97,0.0,0.0,34.0
21.0,24.0,1008.0,0.89,0.0,0.0,64.0
17.0,20.0,1006.0,0.89,0.0,0.0,242.0
-13.0,6.0,1024.0,1.78,0.0,0.0,80.0
1.0,3.0,1030.0,15.65,0.0,0.0,28.0
13.0,25.0,1007.0,9.84,0.0,0.0,12.0
-11.0,-7.0,1029.0,5.37,0.0,0.0,329.0
-12.0,5.0,1023.0,14.76,0.0,0.0,10.0
15.0,17.0,1019.0,0.89,0.0,0.0,284.0
10.0,17.0,1001.0,1.79,0.0,0.0,105.0
3.0,5.0,1026.0,2.24,0.0,0.0,227.0
6.0,6.0,1025.0,26.38,0.0,6.0,50.0
17.0,22.0,1015.0,9.39,0.0,0.0,119.0
16.0,18.0,1015.0,23.25,0.0,0.0,53.0
19.0,24.0,1010.0,4.47,0.0,0.0,48.0
-7.0,-6.0,1024.0,0.89,0.0,0.0,81.0
2.0,22.0,1020.0,2.68,0.0,0.0,52.0
18.0,24.0,1007.0,6.26,0.0,0.0,93.0
13.0,22.0,1005.0,11.17,0.0,0.0,33.0
20.0,25.0,1003.0,0.89,0.0,0.0,41.0
-1.0,2.0,1013.0,21.02,0.0,0.0,132.0
23.0,30.0,1008.0,1.79,0.0,0.0,69.0
8.0,20.0,1013.0,67.04,0.0,0.0,53.0
5.0,19.0,1017.0,4.02,0.0,0.0,30.0
22.0,32.0,1005.0,3.57,0.0,0.0,152.0
15.0,20.0,1014.0,1.78,0.0,1.0,45.0
17.0,20.0,1005.0,0.9,0.0,0.0,57.0
-11.0,7.0,1016.0,247.21,0.0,0.0,6.0
-9.0,-2.0,1029.0,16.99,0.0,0.0,37.0
7.0,9.0,1017.0,4.02,0.0,0.0,17.0
-23.0,-5.0,1035.0,204.74,0.0,0.0,11.0
-23.0,-5.0,1034.0,95.65,0.0,0.0,10.0
12.0,14.0,1015.0,0.89,0.0,0.0,389.0
-14.0,6.0,1017.0,11.63,0.0,0.0,55.0
15.0,18.0,1017.0,0.89,0.0,0.0,33.0
-20.0,-6.0,1036.0,355.84,0.0,0.0,13.0
2.0,12.0,1029.0,1.78,0.0,0.0,15.0
15.0,24.0,1011.0,1.79,0.0,0.0,48.0
-4.0,9.0,1015.0,73.32,0.0,0.0,47.0
-1.0,21.0,1012.0,29.05,0.0,0.0,41.0
-20.0,0.0,1034.0,33.97,0.0,0.0,40.0
11.0,27.0,1002.0,26.37,0.0,0.0,180.0
22.0,24.0,1006.0,46.95,0.0,0.0,112.0
-9.0,-6.0,1030.0,29.51,2.0,0.0,58.0
-4.0,1.0,1026.0,0.89,0.0,0.0,90.0
17.0,22.0,1014.0,1.79,0.0,0.0,125.0
10.0,21.0,1008.0,0.45,0.0,0.0,48.0
-13.0,-6.0,1021.0,1.79,0.0,0.0,44.0
-7.0,-1.0,1023.0,52.75,0.0,0.0,93.0
-15.0,-3.0,1025.0,25.03,0.0,0.0,32.0
-18.0,-6.0,1035.0,17.88,0.0,0.0,19.0
-25.0,3.0,1021.0,39.78,0.0,0.0,72.0
-5.0,21.0,1011.0,4.92,0.0,0.0,107.0
14.0,31.0,1009.0,4.02,0.0,0.0,49.0
22.0,27.0,1004.0,21.45,0.0,0.0,17.0
23.0,29.0,1000.0,0.89,0.0,0.0,81.0
-24.0,6.0,1021.0,57.67,0.0,0.0,7.0
21.0,21.0,1004.0,2.23,0.0,5.0,71.0
-4.0,2.0,1020.0,3.58,0.0,0.0,121.0
13.0,35.0,999.0,3.13,0.0,0.0,13.0
-16.0,-3.0,1026.0,9.84,0.0,0.0,35.0
-15.0,6.0,1023.0,23.69,0.0,0.0,20.0
5.0,8.0,1021.0,0.89,0.0,0.0,259.0
17.0,19.0,1011.0,1.78,0.0,0.0,94.0
13.0,19.0,1006.0,8.04,0.0,0.0,84.0
21.0,23.0,1005.0,1.79,0.0,2.0,216.0
-17.0,2.0,1026.0,120.66,0.0,0.0,17.0
1.0,15.0,1015.0,2.67,0.0,0.0,280.0
22.0,23.0,1005.0,1.79,0.0,0.0,231.0
16.0,35.0,1007.0,19.66,0.0,0.0,76.0
18.0,23.0,1009.0,1.79,0.0,0.0,16.0
18.0,21.0,1016.0,0.89,0.0,0.0,68.0
-20.0,0.0,1030.0,261.5,0.0,0.0,25.0
18.0,30.0,1004.0,1.79,0.0,0.0,152.0
-13.0,3.0,1023.0,1.79,0.0,0.0,33.0
18.0,21.0,1002.0,33.08,0.0,0.0,139.0
19.0,22.0,1003.0,0.89,0.0,5.0,54.0
-4.0,4.0,1021.0,0.89,0.0,0.0,115.0
23.0,25.0,1007.0,8.95,0.0,0.0,126.0
17.0,25.0,1013.0,13.41,0.0,0.0,60.0
-12.0,-6.0,1022.0,2.68,0.0,0.0,79.0
-10.0,3.0,1021.0,2.68,0.0,0.0,167.0
15.0,24.0,1005.0,3.13,0.0,0.0,20.0
2.0,4.0,1010.0,1.78,0.0,0.0,164.0
-2.0,8.0,1018.0,0.89,0.0,0.0,67.0
16.0,22.0,1009.0,16.1,0.0,0.0,174.0
-16.0,-3.0,1021.0,0.89,0.0,0.0,296.0
6.0,15.0,1012.0,44.71,0.0,0.0,93.0
-13.0,-6.0,1025.0,0.89,0.0,0.0,90.0
21.0,24.0,1007.0,5.37,0.0,0.0,141.0
-1.0,24.0,1022.0,24.13,0.0,0.0,15.0
-17.0,11.0,1025.0,34.86,0.0,0.0,8.0
-23.0,-12.0,1034.0,106.83,0.0,0.0,20.0
0.0,4.0,1013.0,200.74,0.0,31.0,23.0
-7.0,13.0,1019.0,4.02,0.0,0.0,222.0
-8.0,-1.0,1028.0,1.78,0.0,0.0,96.0
-5.0,6.0,1019.0,0.89,0.0,0.0,210.0
1.0,16.0,1013.0,38.89,0.0,0.0,71.0
-7.0,3.0,1020.0,16.08,0.0,0.0,70.0
19.0,33.0,1001.0,1.79,0.0,0.0,66.0
-2.0,7.0,1022.0,0.89,0.0,0.0,185.0
7.0,23.0,1019.0,21.45,0.0,0.0,17.0
23.0,32.0,1006.0,1.79,0.0,0.0,149.0
1.0,11.0,1006.0,0.89,0.0,0.0,59.0
-9.0,21.0,1007.0,16.99,0.0,0.0,56.0
-8.0,-7.0,1026.0,0.89,0.0,0.0,199.0
22.0,24.0,1007.0,1.79,0.0,0.0,126.0
16.0,32.0,1001.0,21.9,0.0,0.0,164.0
21.0,23.0,1003.0,1.79,0.0,4.0,46.0
-22.0,6.0,1028.0,14.75,0.0,0.0,15.0
3.0,6.0,1018.0,1.78,0.0,0.0,402.0
-19.0,1.0,1028.0,123.83,0.0,0.0,11.0
-22.0,-9.0,1038.0,11.17,0.0,0.0,9.0
10.0,13.0,1019.0,1.79,0.0,1.0,77.0
10.0,14.0,1020.0,4.92,0.0,0.0,188.0
-21.0,-3.0,1027.0,59.01,0.0,0.0,12.0
12.0,27.0,1007.0,31.28,0.0,0.0,62.0
21.0,28.0,1005.0,18.34,0.0,0.0,130.0
-21.0,-8.0,1030.0,130.07,0.0,0.0,24.0
12.0,32.0,1001.0,26.37,0.0,0.0,66.0
16.0,28.0,1001.0,1.79,0.0,0.0,191.0
18.0,26.0,1009.0,17.45,0.0,0.0,298.0
-20.0,-7.0,1031.0,150.21,0.0,0.0,11.0
-7.0,10.0,1020.0,113.99,0.0,0.0,16.0
-25.0,-6.0,1029.0,75.99,0.0,0.0,12.0
14.0,14.0,1014.0,3.13,0.0,0.0,61.0
24.0,26.0,1004.0,42.9,0.0,0.0,171.0
1.0,6.0,1004.0,6.71,0.0,0.0,63.0
21.0,25.0,1001.0,0.89,0.0,0.0,167.0
21.0,24.0,1011.0,70.64,0.0,0.0,219.0
12.0,17.0,1008.0,0.89,0.0,0.0,225.0
24.0,32.0,1002.0,8.05,0.0,0.0,159.0
-4.0,20.0,1019.0,39.33,0.0,0.0,54.0
-4.0,18.0,1015.0,92.09,0.0,0.0,12.0
-2.0,3.0,1025.0,0.89,0.0,0.0,380.0
22.0,28.0,1015.0,16.99,0.0,0.0,79.0
12.0,15.0,1018.0,1.79,0.0,0.0,225.0
4.0,8.0,1018.0,0.89,0.0,0.0,46.0
-22.0,-10.0,1035.0,4.02,0.0,0.0,12.0
20.0,23.0,1004.0,13.41,0.0,0.0,35.0
15.0,22.0,1018.0,1.79,0.0,0.0,373.0
-10.0,-5.0,1014.0,1.78,0.0,0.0,308.0
24.0,26.0,1004.0,12.07,0.0,0.0,61.0
-21.0,1.0,1022.0,112.2,0.0,0.0,7.0
11.0,15.0,1014.0,0.89,0.0,0.0,39.0
-15.0,6.0,1020.0,1.79,0.0,0.0,48.0
22.0,28.0,1000.0,50.09,0.0,0.0,188.0
4.0,4.0,1018.0,2.23,0.0,0.0,48.0
-27.0,-11.0,1036.0,4.02,0.0,0.0,13.0
25.0,26.0,1000.0,0.89,0.0,1.0,206.0
-25.0,2.0,1029.0,3.13,0.0,0.0,18.0
-4.0,-1.0,1015.0,3.58,0.0,0.0,126.0
14.0,15.0,1017.0,2.68,0.0,0.0,348.0
25.0,26.0,999.0,4.47,0.0,0.0,63.0
16.0,26.0,1008.0,46.94,0.0,0.0,48.0
-5.0,-4.0,1038.0,10.29,3.0,0.0,63.0
17.0,17.0,1005.0,0.89,0.0,0.0,68.0
-11.0,-2.0,1025.0,22.35,0.0,0.0,149.0
-14.0,3.0,1026.0,180.16,0.0,0.0,13.0
4.0,7.0,1024.0,0.89,0.0,0.0,78.0
2.0,4.0,1020.0,0.89,0.0,0.0,254.0
-21.0,-10.0,1034.0,268.68,0.0,0.0,11.0
12.0,33.0,1007.0,9.83,0.0,0.0,104.0
-5.0,7.0,1019.0,3.57,0.0,0.0,360.0
-11.0,0.0,1025.0,4.02,0.0,0.0,19.0
-7.0,-3.0,1025.0,51.43,13.0,0.0,109.0
12.0,16.0,1008.0,1.79,0.0,0.0,64.0
-5.0,5.0,1024.0,25.04,0.0,0.0,127.0
21.0,33.0,1008.0,27.72,0.0,0.0,128.0
10.0,25.0,1010.0,2.68,0.0,0.0,21.0
-9.0,3.0,1020.0,1.79,0.0,0.0,205.0
-1.0,6.0,1017.0,1.79,0.0,0.0,261.0
-17.0,-10.0,1025.0,0.89,0.0,0.0,29.0
-4.0,1.0,1027.0,2.68,0.0,0.0,235.0
19.0,27.0,1009.0,28.61,0.0,0.0,166.0
-14.0,-2.0,1017.0,1.34,0.0,0.0,245.0
1.0,7.0,1022.0,5.81,0.0,0.0,17.0
-7.0,21.0,1011.0,179.7,0.0,0.0,31.0
21.0,24.0,1003.0,35.76,0.0,1.0,143.0
-19.0,-5.0,1032.0,197.59,0.0,0.0,10.0
20.0,25.0,1003.0,4.92,0.0,0.0,170.0
0.0,6.0,1022.0,2.68,0.0,0.0,176.0
-17.0,-7.0,1029.0,11.62,0.0,0.0,73.0
-22.0,3.0,1025.0,148.42,0.0,0.0,8.0
11.0,14.0,1021.0,17.43,0.0,0.0,20.0
16.0,20.0,1016.0,2.67,0.0,0.0,91.0
14.0,15.0,1008.0,0.89,0.0,0.0,61.0
24.0,31.0,1006.0,8.04,0.0,0.0,58.0
-18.0,-2.0,1037.0,26.83,0.0,0.0,19.0
-1.0,11.0,1003.0,1.78,0.0,0.0,292.0
15.0,19.0,1024.0,4.92,0.0,0.0,332.0
20.0,24.0,1003.0,4.47,0.0,0.0,62.0
-18.0,-2.0,1037.0,406.77,0.0,0.0,21.0
-8.0,-4.0,1032.0,3.13,0.0,0.0,115.0
-4.0,0.0,1019.0,0.89,0.0,0.0,443.0
-16.0,12.0,1024.0,4.02,0.0,0.0,6.0
-6.0,2.0,1019.0,1.79,0.0,0.0,172.0
7.0,24.0,1018.0,0.89,0.0,0.0,13.0
2.0,8.0,1014.0,0.89,0.0,0.0,85.0
-4.0,9.0,1023.0,8.05,0.0,0.0,27.0
9.0,19.0,1012.0,0.89,0.0,0.0,131.0
12.0,15.0,1008.0,59.9,0.0,0.0,129.0
10.0,12.0,1014.0,2.68,0.0,0.0,110.0
5.0,11.0,1018.0,1.78,0.0,0.0,42.0
18.0,20.0,1005.0,3.57,0.0,0.0,66.0
-5.0,4.0,1014.0,0.89,0.0,0.0,188.0
-12.0,5.0,1016.0,25.94,0.0,0.0,149.0
16.0,20.0,1011.0,0.89,0.0,0.0,70.0
17.0,23.0,1003.0,33.08,0.0,0.0,199.0
8.0,28.0,1011.0,11.62,0.0,0.0,86.0
-11.0,-5.0,1022.0,3.57,0.0,0.0,163.0
21.0,28.0,1003.0,4.46,0.0,0.0,100.0
-6.0,-1.0,1027.0,9.83,0.0,0.0,216.0
4.0,7.0,1024.0,0.89,0.0,0.0,52.0
12.0,13.0,1018.0,0.89,0.0,0.0,64.0
-5.0,-4.0,1032.0,0.89,4.0,0.0,87.0
-18.0,-9.0,1035.0,3.13,0.0,0.0,21.0
20.0,28.0,1003.0,4.92,0.0,0.0,183.0
18.0,22.0,999.0,3.58,0.0,0.0,170.0
23.0,27.0,1003.0,3.58,0.0,0.0,213.0
24.0,27.0,1010.0,12.08,0.0,2.0,140.0
17.0,20.0,1007.0,1.78,0.0,0.0,69.0
17.0,22.0,1011.0,0.45,0.0,0.0,56.0
-12.0,7.0,1035.0,181.95,0.0,0.0,11.0
22.0,24.0,1005.0,5.81,0.0,0.0,236.0
11.0,20.0,1021.0,5.35,0.0,0.0,193.0
-15.0,12.0,1012.0,15.2,0.0,0.0,8.0
-11.0,2.0,1013.0,6.26,0.0,0.0,159.0
14.0,21.0,1008.0,0.89,0.0,0.0,435.0
23.0,24.0,1009.0,10.73,0.0,0.0,77.0
-5.0,-2.0,1016.0,0.89,0.0,0.0,158.0
-20.0,16.0,1020.0,37.99,0.0,0.0,11.0
24.0,25.0,1005.0,0.89,0.0,0.0,197.0
-21.0,-5.0,1034.0,116.22,0.0,0.0,26.0
-5.0,1.0,1017.0,0.89,0.0,0.0,51.0
10.0,15.0,1012.0,9.84,0.0,0.0,18.0
1.0,4.0,1027.0,0.89,0.0,0.0,224.0
23.0,26.0,1007.0,2.67,0.0,0.0,59.0
18.0,19.0,1015.0,1.79,0.0,0.0,125.0
2.0,6.0,1024.0,1.78,0.0,0.0,141.0
-18.0,-1.0,1029.0,78.22,0.0,0.0,12.0
17.0,25.0,1006.0,0.89,0.0,0.0,42.0
-7.0,12.0,1030.0,90.75,0.0,0.0,11.0
11.0,21.0,1000.0,24.58,0.0,0.0,139.0
-17.0,4.0,1027.0,57.66,0.0,0.0,10.0
-6.0,19.0,1025.0,0.89,0.0,0.0,43.0
21.0,27.0,1002.0,0.89,0.0,0.0,110.0
2.0,4.0,1021.0,3.13,0.0,0.0,28.0
10.0,23.0,1005.0,45.15,0.0,0.0,164.0
-4.0,6.0,1019.0,6.71,0.0,0.0,366.0
-2.0,28.0,998.0,51.86,0.0,0.0,30.0
18.0,24.0,1003.0,4.92,0.0,0.0,121.0
20.0,24.0,995.0,1.79,0.0,1.0,56.0
19.0,28.0,1011.0,27.26,0.0,0.0,34.0
-3.0,19.0,1017.0,3.13,0.0,0.0,13.0
-24.0,-9.0,1040.0,82.7,0.0,0.0,15.0
21.0,31.0,1003.0,11.18,0.0,0.0,104.0
15.0,21.0,1018.0,9.84,0.0,0.0,47.0
9.0,26.0,1013.0,19.21,0.0,0.0,104.0
22.0,33.0,1008.0,22.8,0.0,0.0,118.0
24.0,25.0,1001.0,29.95,0.0,0.0,73.0
-10.0,11.0,1022.0,98.34,0.0,0.0,10.0
0.0,9.0,1028.0,29.94,0.0,0.0,32.0
14.0,34.0,1001.0,1.79,0.0,0.0,19.0
-8.0,-8.0,1024.0,0.89,0.0,0.0,148.0
2.0,24.0,998.0,12.07,0.0,0.0,62.0
-5.0,-4.0,1029.0,0.89,0.0,0.0,85.0
17.0,28.0,1007.0,8.05,0.0,0.0,96.0
-11.0,7.0,1013.0,61.25,0.0,0.0,16.0
17.0,27.0,1003.0,28.6,0.0,0.0,68.0
-20.0,1.0,1032.0,12.52,0.0,0.0,26.0
8.0,10.0,1028.0,0.89,0.0,0.0,89.0
-2.0,11.0,1013.0,96.11,0.0,0.0,16.0
-6.0,6.0,1020.0,86.7,0.0,0.0,72.0
10.0,13.0,1022.0,5.36,0.0,0.0,80.0
11.0,15.0,1011.0,6.26,0.0,0.0,39.0
-5.0,-1.0,1019.0,0.89,0.0,0.0,159.0
-8.0,11.0,1018.0,19.22,0.0,0.0,55.0
-7.0,7.0,1022.0,155.57,0.0,0.0,13.0
-22.0,6.0,1027.0,20.56,0.0,0.0,15.0
-23.0,-1.0,1031.0,31.73,0.0,0.0,8.0
18.0,26.0,1015.0,0.89,0.0,0.0,81.0
18.0,22.0,1008.0,0.89,0.0,3.0,38.0
-16.0,-5.0,1036.0,1.79,0.0,0.0,57.0
16.0,19.0,1017.0,0.89,0.0,0.0,58.0
-10.0,7.0,1009.0,9.39,0.0,0.0,167.0
22.0,27.0,1005.0,20.13,0.0,0.0,144.0
16.0,27.0,998.0,49.63,0.0,0.0,48.0
-3.0,24.0,1012.0,4.02,0.0,0.0,93.0
11.0,14.0,1013.0,0.89,0.0,0.0,289.0
22.0,27.0,1004.0,31.28,0.0,0.0,173.0
22.0,24.0,1010.0,0.89,0.0,0.0,122.0
-18.0,-10.0,1033.0,0.89,0.0,0.0,158.0
6.0,14.0,1021.0,18.77,0.0,0.0,50.0
-7.0,22.0,1021.0,12.07,0.0,0.0,11.0
-18.0,3.0,1022.0,1.79,0.0,0.0,46.0
20.0,27.0,1003.0,3.58,0.0,0.0,96.0
-15.0,4.0,1030.0,28.16,0.0,0.0,10.0
15.0,16.0,1017.0,4.47,0.0,0.0,84.0
7.0,17.0,1008.0,5.37,0.0,0.0,175.0
22.0,23.0,1005.0,1.78,0.0,0.0,199.0
14.0,25.0,998.0,12.07,0.0,0.0,74.0
4.0,22.0,1014.0,13.86,0.0,0.0,36.0
-2.0,-1.0,1019.0,2.23,0.0,0.0,410.0
18.0,25.0,1003.0,18.77,0.0,0.0,266.0
-11.0,-4.0,1019.0,3.58,0.0,0.0,299.0
-2.0,4.0,1020.0,0.89,0.0,0.0,61.0
6.0,9.0,1017.0,1.79,0.0,0.0,197.0
-8.0,-4.0,1020.0,1.78,0.0,0.0,197.0
12.0,15.0,1021.0,0.89,0.0,0.0,55.0
-13.0,11.0,1020.0,1.79,0.0,0.0,16.0
22.0,26.0,1004.0,3.58,0.0,0.0,258.0
14.0,28.0,999.0,12.07,0.0,0.0,27.0
0.0,17.0,1011.0,0.89,0.0,0.0,29.0
-17.0,9.0,1022.0,22.35,0.0,0.0,29.0
3.0,8.0,1002.0,4.91,0.0,0.0,498.0
23.0,25.0,1001.0,1.78,0.0,0.0,152.0
-8.0,8.0,1020.0,6.26,0.0,0.0,122.0
0.0,8.0,1005.0,4.92,0.0,0.0,353.0
-25.0,-3.0,1025.0,120.24,0.0,0.0,5.0
-5.0,4.0,1032.0,1.79,0.0,0.0,39.0
-8.0,20.0,1014.0,50.96,0.0,0.0,90.0
21.0,24.0,1010.0,0.89,0.0,0.0,139.0
3.0,3.0,1013.0,3.58,0.0,0.0,185.0
